Title,Address,Phone Number,Website
Mosaic Pizzeria,"377 Phan Văn Trị, Phường 2, Quận 5, Thành phố Hồ Chí Minh, Vietnam",+84 906 631 825
The Pizza Company,"11 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6066
Pizza Piatto,"91K CƯ XÁ LÝ THƯỜNG KIỆT, Nguyễn Kim, Phường 7, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",+84 346 627 237
Pizza 4P's Le Dai Hanh - The Emporium Building,"184 Đ. Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh 70000, Vietnam",+84 1900 6043
PIZZA 777,"4 Đ. Ngô Quyền, Phường 6, Quận 5, Thành phố Hồ Chí Minh 70000, Vietnam",+84 877 771 077
Paper Plate Pizza,"25/26B Đ. Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",+84 777 892 988
Pizza Hut Nguyễn Trãi,"266 Đ. Nguyễn Trãi, Phường 8, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 996627
Pizza Hut Nguyễn Tri Phương,"397 Đ. Nguyễn Tri Phương, Phường 5, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 1822
The Pizza Company,"167 Đ. Hậu Giang, Phường 5, Quận 6, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6066
Pizza Hut Hồng Bàng,"307A Hồng Bàng, Phường 11, Quận 5, Tp Hồ Chí Minh, Thành phố Hồ Chí Minh, 700000, Vietnam",+84 1900 1822
SUN PIZZA - SHIP ĐỒ ĂN ĐÊM 24h,"23 Đ. 3 Tháng 2, Phường 6, Quận 11, Thành phố Hồ Chí Minh 700000, Vietnam",+84 855 966 228
Domino's Pizza Nguyễn Tri Phương,"313 Đ. Nguyễn Tri Phương, Phường 5, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6099
The Pizza Company,"508 Đ. Nguyễn Thị Minh Khai, Phường 2, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6066
Pizza vỉa hè,"366 Đ. Nguyễn Tri Phương, Phường 4, Quận 10, Thành phố Hồ Chí Minh, Vietnam",
Pizza Hut Hậu Giang,"164B Đ. Hậu Giang, Phường 6, Quận 6, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 1822
Domino's Pizza Hậu Giang,"251F Đ. Hậu Giang, Phường 5, Quận 6, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6099
Pizza Inn,"77A Huỳnh Mẫn Đạt, Phường 7, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam",+84 28 3924 0343
Domino's Pizza Hoà Bình,"48 Hòa Bình, Phường 5, Quận 11, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6099
Nhà Hàng Bánh Pizza Roma,"728 Đ. Trần Hưng Đạo, Phường 2, 5, Thành phố Hồ Chí Minh, Vietnam",+84 28 3924 1863
The Pizza Company,"Chung cư Phú Thọ - Khu B, Lô 4 - Khu B - Căn số 7, 4B Đ. Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh 700000, Vietnam",+84 1900 6066
